address,balance
0xC7b63Fc661819ca143abac7807FB22c123e68731,170266855201
0x929A6e46191eF729284F95294a65ba949DB6a710,1126004858509
0xC96D87C21b64dEdB7b5790A1a2462aeDd21ad810,959005937059
0xe741A2eEB4b69EfB229Ae70FC805cbc1BbCDA629,3815450278632
0xb5Cdf1c27Ae270De48d7856E13B37E4b3EcDd849,725693483363
0x2f338D5d249661Fd5d7b3cFE6F74C1F96EAa6669,296466149233
0x6Ef93D786b61F0AE818C0Ad2Db69B16FECcdE9fa,7006289819827
0x78702896607769de9511049d1E0AA04Ca6fEc913,4256016792387
0x05D8cdf8ecd4FCe65B70B829Dc58Be0fBaE9584F,1000898545689
0xEfDfac598bfbA1F6Ba996590873F0050A979399C,3208174211204
0xf82797d65d9cf22FA630465a7ae91b453e3330BC,106488598971
0xB1B23266d603d49DC0d18d1D5D302efd306aC977,0
0xC6c0A13290D898A736141363977B696866688371,166813755218
0x76BCe8D942669aD3dCA832760F8EaDbe5EF4D54F,960862603862
0xE418e55E20a530B85D453B6a8587Ae7e4aa87FbD,740508783637
0x7ee2D11c740FBc1c931b48Ed4107aa10eAD8bdaa,300269563706
0x67Cc3a9677e53779b380cb61a9485B404CF8E6ea,40846069110468
0x72d22C8a06dB45E1C27FAa88e69a5ad583dea103,993383799408
0xe621975C76639Fa5BFc7eaB6BFeAeaD4028596A6,1030925502060
0xAf6CB56dc2aAfA9B542f66E5cd8CDDf9b6114f9b,67560651834
0xedAEc59684C8DdA4225f92B38fE87c1BAF2b3905,450404345560
0x5Af1AcE5F8a0c20334C39e68FA2567da6A455cBe,100790483550
0x79AfCA741ea61A415e1973948Bd0dBeaC5701171,105682875642
0xaBf859b53F50CB44aF159BFBe10f655570a0dbA5,1889996723825
0x403AD1e0F766438Cb7C2603c435829f2D1cB9904,146435460828
0xA471252022EdC1827aCA4F1eAA5842255CABE329,2001879165060
0x6Dde7372072036EeFAf880600dEE87d5019aD2D2,26523811460776
0xa2902090766B70006410A69Da114ae082f4b0E57,160143767310
0x21c9aba2392dD5e15CE74BF9C8685aC4907B5Fab,171397870558
0xD224d00577749f57CBde6f960B047079D803Bb21,140826425378
0x495A2A31dd0747e7B0b256FB3e2764167E8f9dD0,1735558078225
0x37e90F59209eB90Ce4BDDFaA4535121EE968B5e3,191071532372
0x66215280c83C70959f64d19dc9a371cb69fF0d0C,80071883655
0x2d3E02f67bb4f4486FeF4D5732DaB6522b2570fC,2783899214981
0xCEE67A7f86F2845Ce19d6A00Ea10Bfb65d606D17,655848781048
0x4c157613F9e64abcf361030178e31a59f20e8880,345606264232
0xf697DfD1f7832e813254e5B71D4324f86C7A977C,376995443523
0xb341a4F2b4f97372406B91791E61Dfeff15C5dB3,10008985456896
0xA1107fE10AE4a0bEf5436587138215438f0c016F,196265106614156
0xA3eDCD871B2e5f9CA5B5FA264325a5E4D2d7c3A2,100469195117
0xb95556dE32a85231558b34981CDE5D3C730f49Dc,165675733572
0xfce8c03AC931B7018E7C3A4E30EeCD1a28868a3F,2256110510854
0x7d5c889EB449490ACAc274b339eCA1fC29e2Fb9d,8243061785943
0x2b644D58B1F102215489062Ed8812F64c373028c,1000923568153
0x894934635652d346b66Bf4672Ed2271C86e7496E,1347209442498
0x6Fb3089373c8971f917099625824e1EFba1A0187,2201976800517
0x8Dd867135e5b57C22F6c482795fc0b89F0a2A6d2,7183297903269
0x91BE45675a47005E230D512cDA8Df9FeE19fd553,600539127413
0xf8e0f1689ce5FA81f5527AAcd7dcA0Ff057F4ac6,200179709137
0xD3bE310877c823BA59767Ae4722592D3d12Ea2ca,1000898545689
0xf45A3bDa3bf6F489B0330a9D2bca4CfF1f44875b,733412193012
0xB4024BaB569D46C401E5d7351871E56c4B8163f6,209988514885
0x8187B47Ed21fdC6348c8882153431fE2D5082482,5353044637100
0x8fBccAC2b130071481428353B8bDDF93FcC73576,154734911569
0x2EE0d11F9093EF93744E2768a3cC998250cf14cc,9725130629339
0x737C21e82e1c3F99F8B6d844FCe9c74D0ac4D805,2192968713606
0x03B33C2716290537Dc9dF00AC1698A16B921835E,3313643787359
0xd8d4b9224e3870b8615502a3F4f0e2726DbEB2aF,848588811296
0xACf5d94bA8683a41e9ee41030F62F461293D2b4B,359022308338
0x8092674003011f4461b6f5E4743333215989bF18,946049305385
0x13B74321172F4dfA0DE95B7271FEC1f8b8eaD973,50545376557
0x69A3e2950bA7cd109891261b1B4FC59138A16Ab4,6792255227889
0xF9DCD956CC1dC097c062403A1A36Ad8FA629663d,482929858900
0xF8Cc0fF861f5b1F7f56B4a2850DEEE01BAbd43B0,162045474547
0xd1020a90d49BFE7C8c84e66535f4DD6fD87ea6F8,10008985456896
0xD089bD2aa14Aeb50fed2421d509861F5e019a9E2,395455015401
0x15Ef0B0E8bD42C9A35398992d170C2bCA67347f1,2507331929734
0xe3748f9FD8A65E047A50398739e5e6F90D5d6745,346472041474
0x43775f38a6F524E74B015e190DecF43AFaA53a35,500449272844
0xfF587925b9840E71193CF6a0749120D4cCA3cb8b,562390880243
0x930252373a6c96C6b61F66DeB88D5eC9Cac6Af16,114838094639
0xDe33Daf7559C2711E679f09e423a0F82A364cb76,212230527628
0x8b5e29Fc58dD9DcBa0F4F98f0043c71EA8Ff3869,346187786287
0x65b3e945e707d8399A98eE031f0B891Cbbe82d33,670112586223
0x4BA9e3D69f573c1C79c7d66e8A0D096583b52454,195311338611
0xC9557379c43bfF9C5D4E2e6E11432Eb743ff9EB2,2555394077000
0x4DCaF43fC9A438310D6cb9e8839149F7a3dA238a,366629137286
0x7FCcB70F997973366C9Ef74308FF3B27dA94B196,1649877935259
0x3996976D3511b01cf1A35FC4bC74f6aC533ce4E3,490508348489
