address,balance
0x959e2a4db1fA5d56B810759f2E6D80a01Eb9E892,313967127730
0xfa22ef75034825a82493336720E456F7aF3ad0Fa,810998155816
0x70079C960CF8B18C692Acb8A4AAe3D6827617DF6,2710226438147
0xED7db67be2171E4Af701caE7BD2C2869B534108B,9027808784605
0xE66d55Cf5a621eDFf9374aA4865eB9f06A339C56,10030898649561
0xDc7BC28EacA02BAE02259DAdB1e8bfb279107e81,70182375273321
0xb6C23c2b69cE0a7641a3CA7355D4BAa8805ae310,59323351513775
0xc6438A541636033E9937642742aF14a6238fec5A,1504634797434
0x76e6e2E9Ca0ee9a2BB4148566791FD6F2fEeAc32,16526860346542
0x097A5DF71b3ada5936FECEDc6D7579E97d6e48a0,12359471462070
0x9C3ABFD8d827AD1907c4367a450f3235A2DBdc9c,2219837871147
0x5F75C372DbF1476dB53324b371fa9E95772f0f42,100173325401175
0xc335C1CDC36b1AF70242A88d7f13Ea8D6a0d7C8c,5332626340079
0xF75d04B75fdd4f6E7Cacb60Dc6CEF401A82Fc2b5,13499081857647
0xD0453C1Cc9b69a106bB86bd0b8B784057632Db0C,2006179729911
0x2cF4F10C7b7972AF66ba7C6869a342DF3676Bf52,4643421349485
0x483D65B84c3Ba64bde6e04cb04198EA60C7F88A2,100308986495
0x87D00EbFD95f8953cB76F8E3f15B5Be188401c92,33746561032025
0x2FF2c6B09dA200b3Af5dee6D1C2656210B203f1D,12547557234091
0xea74E048cCEcd7ADE98491Fe9683a686BeE73aEc,873089418457
0x29cb104d28915e89981dfa7A437CCbCDdDD9D4Bb,67630335041908
0x0E8C800661676119c23b1F198613cDd6B0219a89,10030898649561
0xC33e4E525026e02CF8b96c77767a9a23599c5Ea6,107444819492256
0x99859448e4f87F2F8c6e21a9D7df55F655dC180c,839251184953
0x56af06B9DE44164A9Aa1971b57FF5d3ddfc3e9b6,7828313924090
0x3FB146D3392FcC4FF7fCFE1B87fbAC4b67645284,61690026694
0x8136f7f36DBDAde77dC5664B67f625D46A100374,166487539409143
0xb9fC282A67Cfd89Fc1B8aE7d2327FAd0021aFFFb,10032503593345
0xff5A9C561F3E66fD1c234f7BDA763360f01c3f19,7473019493923
0xa81311e56630a9A21901415671A489A9985AC00E,2192274967838
0xAa869adcf9353759a62C1134Be1DA4b88a9ED31f,200617972991
0x42F24b1700aCEd807EEEEdfEE587e7b5C4249421,250772466238
0xb20f47653986e1689E55F97a5414BE2D749EA690,350278980842
0xFe4Dee42F76fE400B6021eB87560F2a50750811f,8381862044437
0x74513150a7edF0c1A7e659940434343639774B20,6028018388960
0xaF051F9C2246d6ec9ab274173ACf4E9E051893fb,10447080634531
0x6AF03189F1e63aB195fF107dB4fF8D18C27ed88a,6648313112011
0xD8D2dCE6103d53d9A8Fe999ad25a39eFa23CD566,10030898649561
0xAA4706e60f74596E1F00d70B59744Aa2b2268Bb0,7667096317904
0x6976e43CbC4a6FeF48fe36Cec90E072e0175A6E0,1554989908654
0xBC4F4beB16Bd5494DCc3c45650C9548DdE4f3075,21034794468130
0x272a041b36E4a9bB9393F035e1928fe0ED53fE17,100308986495
0x78341326373Cb60E2663578db73A5c7ea89CebB5,100308986495
0x6B5b5b04481F7037930cf11837a61030477522BF,1003089864955
0x8052Fe167895e76605D3cd9e50920749512f50A4,207974635718977
0xc03a1Fa13511d32b4CBA6d9B38Ca834010280195,892749979810
0x9cf98e091a10e0Bb1C20B46fb9ba2B74F3Ed0D89,3786162695276
0xa14aC1A9B3D52aBD0652C5Aca346099A6eb16b54,2075192312620
0xc21F96c48A6106b93Cb633EFE1AAfD28cAcF642F,6219157162728
0x3E6A0edc6e460B14e3744a180Fb2F751272324a5,269101617386622
0xccBcC956adee7896BC6c5aa87a6d09383edAcd55,1690355782532067
0x06BC2e436A605dccdFa98A9196ae1610014453C2,2007702420327
0xf29A7495045d047d1d47F0F731ef72535EF26540,10871086720448
