address,balance
0x959e2a4db1fA5d56B810759f2E6D80a01Eb9E892,537274074370
0xd800aEcde1dF53640aE1FC1EC48CCD3539f9AdFd,-274265146
0xfa22ef75034825a82493336720E456F7aF3ad0Fa,-871968845
0x70079C960CF8B18C692Acb8A4AAe3D6827617DF6,-5213105597
0xFC3eB693cD1237a0633422FaB1927858B0A75D0a,-42292568221
0xED7db67be2171E4Af701caE7BD2C2869B534108B,-11939585676
0xE66d55Cf5a621eDFf9374aA4865eB9f06A339C56,10143686225175
0xDc7BC28EacA02BAE02259DAdB1e8bfb279107e81,-98181080375
0xb6C23c2b69cE0a7641a3CA7355D4BAa8805ae310,-58183674978
0xc6438A541636033E9937642742aF14a6238fec5A,-1848648260
0x76e6e2E9Ca0ee9a2BB4148566791FD6F2fEeAc32,-25438183720
0x097A5DF71b3ada5936FECEDc6D7579E97d6e48a0,12498441545488
0x81eb02e061E5ffaeD35CF8B9c43e05bd183DBb37,-1407633747
0x9C3ABFD8d827AD1907c4367a450f3235A2DBdc9c,2244797761624
0x5F75C372DbF1476dB53324b371fa9E95772f0f42,-160423016810
0xc335C1CDC36b1AF70242A88d7f13Ea8D6a0d7C8c,-5861169375
0xF75d04B75fdd4f6E7Cacb60Dc6CEF401A82Fc2b5,-14603927706
0xD0453C1Cc9b69a106bB86bd0b8B784057632Db0C,2028737245029
0x2cF4F10C7b7972AF66ba7C6869a342DF3676Bf52,-5705073957
0x483D65B84c3Ba64bde6e04cb04198EA60C7F88A2,202561263752
0x37A8c225b839E109357dD20F6C7E34909fA06533,-41893861524
0x87D00EbFD95f8953cB76F8E3f15B5Be188401c92,-65424296424
0x2FF2c6B09dA200b3Af5dee6D1C2656210B203f1D,-16594573300
0x8dDe69ec2639611DEcFA0ffe50435216cD886A69,-30331155743
0xea74E048cCEcd7ADE98491Fe9683a686BeE73aEc,882906449034
0x29cb104d28915e89981dfa7A437CCbCDdDD9D4Bb,68390771548555
0x0E8C800661676119c23b1F198613cDd6B0219a89,-12938101792
0xC33e4E525026e02CF8b96c77767a9a23599c5Ea6,-107547949438
0x182ae918456CEa8Ce6e0381E92CE5b708ADbef0E,-66381393890
0x99859448e4f87F2F8c6e21a9D7df55F655dC180c,-4284566300
0x56af06B9DE44164A9Aa1971b57FF5d3ddfc3e9b6,7916335603848
0x3FB146D3392FcC4FF7fCFE1B87fbAC4b67645284,62383670281
0x8136f7f36DBDAde77dC5664B67f625D46A100374,-235317148739
0xb9fC282A67Cfd89Fc1B8aE7d2327FAd0021aFFFb,-13268328899
0xff5A9C561F3E66fD1c234f7BDA763360f01c3f19,7557046237754
0xa81311e56630a9A21901415671A489A9985AC00E,2216924940617
0xAa869adcf9353759a62C1134Be1DA4b88a9ED31f,-196763848
0x42F24b1700aCEd807EEEEdfEE587e7b5C4249421,253592155623
0xb20f47653986e1689E55F97a5414BE2D749EA690,354217522977
0xFe4Dee42F76fE400B6021eB87560F2a50750811f,-10298256236
0x74513150a7edF0c1A7e659940434343639774B20,6095797518583
0xaF051F9C2246d6ec9ab274173ACf4E9E051893fb,-11482542592
0x6AF03189F1e63aB195fF107dB4fF8D18C27ed88a,-10911038511
0xD8D2dCE6103d53d9A8Fe999ad25a39eFa23CD566,-10319445384
0xAA4706e60f74596E1F00d70B59744Aa2b2268Bb0,8466601914300
0x6976e43CbC4a6FeF48fe36Cec90E072e0175A6E0,1572474238622
0x133D93566f9699B3Af46fE150daA8a67a9563ED6,-84839485559
0xBC4F4beB16Bd5494DCc3c45650C9548DdE4f3075,21271310014197
0x272a041b36E4a9bB9393F035e1928fe0ED53fE17,101436862247
0x78341326373Cb60E2663578db73A5c7ea89CebB5,101436862247
0x6B5b5b04481F7037930cf11837a61030477522BF,-1326620630
0x8052Fe167895e76605D3cd9e50920749512f50A4,-268250841846
0xc03a1Fa13511d32b4CBA6d9B38Ca834010280195,-981234856
0x9cf98e091a10e0Bb1C20B46fb9ba2B74F3Ed0D89,3828734365688
0xa14aC1A9B3D52aBD0652C5Aca346099A6eb16b54,-2035325246
0xc21F96c48A6106b93Cb633EFE1AAfD28cAcF642F,7296460153691
0x3E6A0edc6e460B14e3744a180Fb2F751272324a5,-347093938435
0xccBcC956adee7896BC6c5aa87a6d09383edAcd55,1709362168430811
0x06BC2e436A605dccdFa98A9196ae1610014453C2,2030277056599
0xf29A7495045d047d1d47F0F731ef72535EF26540,10993321383395
0xC760bD60026Ea79010ea71d147f220f052cC9Bb6,-188137062
0x7C35f329B87A0f026B68ab95fAD89cdb8ecC3511,6935948330186
0x82B55cC0C7334b15E146E4640D7054Ccd4a87f96,2059251481932
0x4b2b7deA3DF8E5c0577D43EF82695A9EceaC2aaa,85834858464
0xeA4ee34d5CE1b84D52bA0cD221dB64CF8Cb18484,-32027946723
0xBe6585FF34FC380287985bE5424Fa1B6A9dBfDC6,-29319250010
0x22c478452e865266D9EADA7E3d08770C73Fa2A7d,-21514853971
0xc263a68fcC7207060236b2F07C20FE1ec547339A,507184311253
0x2A562FE35Ef56c3B04bFea13177f9992011Fd122,-5299975236
0x340502a6A16d808f0C86C7ff0431389C35bca732,-68842435171
0xCB3bEd849cB6033A343051637314F4A32ee5CE18,-3459635186
0x85d90A50a8E3D3299b5b745bA085c0a6962949F3,-422167037
0xd245d6EC29e503AD1075FC1A0A78E847c394e1ac,10143686225175
0x3c644F3b53EFE793a152E1A7c9fB09517c99c6ec,-168848865778
0x1A1d5183738A711C24510bF3e833bCb8956f7CC6,40884292186642
0x58eeDBAe12e5000de5d4500C07E6032eDaa2C8A6,18044706699253
0xB3f9C642fB8B13CB101309c146aeA978468F5659,-47117923053
0x46Ba0a8F9E3b19E7184cd13fFcE2cD2cD485Fdf4,54471595023
0x1AeeC3841C7DceE6F8912afd76db2fFF77245FDd,51732799748416
