address,balance
0x959e2a4db1fA5d56B810759f2E6D80a01Eb9E892,534445259805
0xfa22ef75034825a82493336720E456F7aF3ad0Fa,815799013522
0xE66d55Cf5a621eDFf9374aA4865eB9f06A339C56,10090278460434
0x097A5DF71b3ada5936FECEDc6D7579E97d6e48a0,12432635702240
0x9C3ABFD8d827AD1907c4367a450f3235A2DBdc9c,2232978623290
0xc335C1CDC36b1AF70242A88d7f13Ea8D6a0d7C8c,5364193835135
0xF75d04B75fdd4f6E7Cacb60Dc6CEF401A82Fc2b5,13578992238131
0xD0453C1Cc9b69a106bB86bd0b8B784057632Db0C,2018055692083
0x483D65B84c3Ba64bde6e04cb04198EA60C7F88A2,201494753605
0x87D00EbFD95f8953cB76F8E3f15B5Be188401c92,70000000000000
0xea74E048cCEcd7ADE98491Fe9683a686BeE73aEc,878257837193
0x29cb104d28915e89981dfa7A437CCbCDdDD9D4Bb,68030685662979
0xC33e4E525026e02CF8b96c77767a9a23599c5Ea6,100000000000000
0x99859448e4f87F2F8c6e21a9D7df55F655dC180c,0
0x56af06B9DE44164A9Aa1971b57FF5d3ddfc3e9b6,7874655116091
0x3FB146D3392FcC4FF7fCFE1B87fbAC4b67645284,62055212529
0x8136f7f36DBDAde77dC5664B67f625D46A100374,230091392397859
0xff5A9C561F3E66fD1c234f7BDA763360f01c3f19,7517257453023
0xa81311e56630a9A21901415671A489A9985AC00E,2205252556137
0x42F24b1700aCEd807EEEEdfEE587e7b5C4249421,252256961507
0xb20f47653986e1689E55F97a5414BE2D749EA690,352352523835
0x74513150a7edF0c1A7e659940434343639774B20,6063702389403
0xaF051F9C2246d6ec9ab274173ACf4E9E051893fb,10508924113759
0x6AF03189F1e63aB195fF107dB4fF8D18C27ed88a,9985878544671
0xD8D2dCE6103d53d9A8Fe999ad25a39eFa23CD566,10090278460434
0xAA4706e60f74596E1F00d70B59744Aa2b2268Bb0,7712483151647
0x6976e43CbC4a6FeF48fe36Cec90E072e0175A6E0,1564194966933
0xBC4F4beB16Bd5494DCc3c45650C9548DdE4f3075,21159313931535
0x272a041b36E4a9bB9393F035e1928fe0ED53fE17,100902784602
0x78341326373Cb60E2663578db73A5c7ea89CebB5,100902784602
0xc03a1Fa13511d32b4CBA6d9B38Ca834010280195,898034782975
0x9cf98e091a10e0Bb1C20B46fb9ba2B74F3Ed0D89,3808575604889
0xc21F96c48A6106b93Cb633EFE1AAfD28cAcF642F,7258043386978
0xccBcC956adee7896BC6c5aa87a6d09383edAcd55,1700362164830056
0x06BC2e436A605dccdFa98A9196ae1610014453C2,2019587396355
0xf29A7495045d047d1d47F0F731ef72535EF26540,10935440184280
0x7C35f329B87A0f026B68ab95fAD89cdb8ecC3511,6899429702890
0x82B55cC0C7334b15E146E4640D7054Ccd4a87f96,2048409267749
0x4b2b7deA3DF8E5c0577D43EF82695A9EceaC2aaa,85382927302
0xeA4ee34d5CE1b84D52bA0cD221dB64CF8Cb18484,29312258927570
0x22c478452e865266D9EADA7E3d08770C73Fa2A7d,20004894638827
0xc263a68fcC7207060236b2F07C20FE1ec547339A,504513923018
0x2A562FE35Ef56c3B04bFea13177f9992011Fd122,5034948048971
0xd245d6EC29e503AD1075FC1A0A78E847c394e1ac,10090278460434
0x3c644F3b53EFE793a152E1A7c9fB09517c99c6ec,154531969099170
0x1A1d5183738A711C24510bF3e833bCb8956f7CC6,40669031322862
0x58eeDBAe12e5000de5d4500C07E6032eDaa2C8A6,17949699082808
0xB3f9C642fB8B13CB101309c146aeA978468F5659,46071561636424
0x46Ba0a8F9E3b19E7184cd13fFcE2cD2cD485Fdf4,54184795329
0x1AeeC3841C7DceE6F8912afd76db2fFF77245FDd,51460420148230
0x051e6845b9DB807bF25645F7ffE7c4Deb4972F65,7392908189464
0x3243a6918df7465ad03dE3a0Ae50137c6afDbD5c,10090278460434
0x3081F46809f9e00EAe53eB7C2982DC73dAA7CC2C,282729602459
0x3F0627532929063Da3F60C13e8548FE05f798653,7575408736817
0xe6C548A3D94ACf8094DF5298bec9B9DBE3925a82,4773004420138
0x6Be1b4d8eB651Da732682346e4EaB6CB870e3992,1557434480364
0xe43bD38BdE51A3326C4D684988e54A2aB50e2Cf2,3430694676545
0xD4853c379b2A94EDbEf4e8371B60CCc21a2DA98e,110040834000000
0x978A16501c40Ca0472648d57cE45a94acf63f014,13817663980545
0x1997169FC82aBdC3F54e14e1E2cD75cBa24Db73C,8393971477614
0xf9b796Ab402aa50e4C4D9ac18609AFbC0B29E64d,4046504370986
0x1ebcA79cCb2ba4f0Cf1AFDB2e18bC0Cc0ef6c162,1009027846040
0xB6A14063d25D67b7f9efAeAE643947616560f174,7085957494212
0x0e05Fc644943Aae89DD3FEc282C3f86431A7D090,142795114207135
0x3B5558391AA9e5ba4Ec6ddC2B02B208a55557895,1855434233284
0xCeC557B61D579150792fDf4F925b43CD9739425C,8362338131537
0x880Cc45018F14b2b06F591a6f0931Ce3A2E4c3dE,3362761876810
0x1102Cc16725D774211Eb70BA2E6De8CBD7DE8526,3160275213806
0x5c49BBea92d120610822efc8e0c5f009a3fDEE4C,8744941633304
0x03F2eFdcb4BF042EDceBe7c2A22c8fCDB7E0aF76,58013333684315
0xB9b14C4d0cbc18FC5f54701D578e85968cf19FD5,100931642800772
0x233B0986FB41A3FF7369BF0376bC697a35027507,2241350527331
